What is your age?,Gender ?,Your City,Current Occuption,"On average, how many hours per day do you spend on social media?",Do you have any medically approved mental disorder?,cluster
18-30,Female,Peshawar ,Employed,3.0,No,2
18-30,Male,Chitral ,Student,4.0,No,1
18-30,Male,Peshawar ,Student,4.0,No,1
18-30,Male,Islamabad ,Employed,1.0,No,2
18-30,Male,Chitral/Isb,Student,10.0,No,1
12-18,Male,Rawalpindi ,Student,9.0,No,0
18-30,Male,Karachi,Student,6.0,No,1
18-30,Female,Muzaffarabad,Student,4.0,No,4
18-30,Female,Peshawar ,Student,9.0,No,4
18-30,Male,Peshawar ,Student,10.0,No,0
18-30,Female,Chitral ,Student,3.0,No,4
18-30,Male,Peshawar ,Student,5.0,No,1
18-30,Male,Lahore,Unemployed,16.0,No,0
18-30,Male,Gilgit ,Student,8.0,No,1
18-30,Female,Karachi,Student,5.0,No,4
18-30,Female,Peshawar ,Student,12.0,No,0
18-30,Male,Gilgit ,Student,8.0,No,1
18-30,Female,rawalpindi,Employed,5.0,No,2
18-30,Male,Gilgit ,Employed,5.0,No,2
18-30,Male,Chitral,Student,5.0,No,1
18-30,Female,Gilgit ,Employed,5.0,No,2
18-30,Male,Islamabad ,Student,2.0,No,1
18-30,Male,Gilgit,Student,5.0,No,1
12-18,Female,Gilgit ,Student,3.5,No,4
18-30,Male,Chitral,Student,6.0,No,1
18-30,Female,Islamabad ,Student,9.0,No,4
30-40,Male,lahore,Employed,3.0,No,2
30-40,Male,Rawalpindi,Self-Employed,4.0,No,2
18-30,Male,Karachi,Student,5.0,No,1
18-30,Female,Hunza,Employed,5.0,No,2
18-30,Female,Peshawar ,Student,5.0,No,4
18-30,Male,Peshawar ,Student,10.0,No,0
18-30,Female,Peshawar ,Student,2.0,No,4
18-30,Female,Mardan ,Student,8.0,No,4
18-30,Female,Peshawar ,Student,4.0,No,4
30-40,Male,Peshawar,Self-Employed,4.0,No,2
18-30,Male,Peshawar ,Student,2.45,No,1
